Description	Code
26. Python Program to Convert Decimal to Octal	"dec = 344


print(""The decimal value of"", dec, ""is:"")
print(oct(dec), ""in octal."")
"
100 Write a Python class to convert an integer to a roman numeral.	"class Solution:
<TAB>def int_to_Roman(self, num):
        val = [
            1000, 900, 500, 400,
            100, 90, 50, 40,
            10, 9, 5, 4,
            1
        ]
        syb = [
            ""M"", ""CM"", ""D"", ""CD"",
            ""C"", ""XC"", ""L"", ""XL"",
            ""X"", ""IX"", ""V"", ""IV"",
            ""I""
        ]
        roman_num = ''
        i = 0
        while num > 0:
            for _ in range(num // val[i]):
                roman_num += syb[i]
                num -= val[i]
            i += 1
        return roman_num
"
write a python function that returns binary representation of given number	"

def to_binary(n):
<TAB>return bin(n)
"
write a Python program to combine two dictionary by adding values for common keys	"dict1 = {'a': 12, 'for': 25, 'c': 9}
dict2 = {'Geeks': 100, 'geek': 200, 'for': 300}
for key in dict2:
<TAB>if key in dict1:
        dict2[key] = dict2[key] + dict1[key]
<TAB>else:
        pass
"
54 write a pythom program to find Maximum value from dictionary whose key is present in the list	"

test_dict = {""Gfg"": 4, ""is"": 5, ""best"": 9,
             ""for"": 11, ""geeks"": 3}

print(""The original dictionary is : "" + str(test_dict))
test_list = [""Gfg"", ""best"", ""geeks""]
c = sorted(test_dict.values(), reverse=True)
for key, value in test_dict.items():
<TAB>if key in test_list and value in c[0:2]:
        print(key)
"
modify the 1st element of the 2nd sublist	"my_list1[1][0] = 'a'
print(""after my_list1[1][0] = 'a' ---> "", my_list1)
"
write a python function to find URLs in a string	"

import re


def Find(string):
<TAB>regex = r""(?i)\b((?:https?://|www\d{0,3}[.]|[a-z0-9.\-]+[.][a-z]{2,4}/)(?:[^\s()<>]+|\(([^\s()<>]+|(\([^\s()<>]+\)))*\))+(?:\(([^\s()<>]+|(\([^\s()<>]+\)))*\)|[^\s`!()\[\]{};:'\"".,<>?«»“”‘’]))""
<TAB>url = re.findall(regex, string)
<TAB>return [x[0] for x in url]
"
write a python program to print binary ones complement on a variable	"a = 60
ones_complement_a = ~a
print(ones_complement_a)
"
33 write a program that shows how child class can access the init method of the parent class using super	"

class A:
<TAB>def __init__(self):
        print(""My name is GYOBU MASATAKA ONIWA!"")


class B(A):
<TAB>def __init__(self):
        super(B, self).__init__()
        print(""as I breath, you WILL not pass the castle gates!"")


tmp = B()
"
write a python function get the maximum number in passed list	"

def max_check(x):
<TAB>max_val = x[0]
<TAB>for check in x:
        if check > max_val:
            max_val = check
<TAB>return max_val


print(f'{max_check([2,4,5,7,98])}')
"
write a program to print even length words in a string	"

str1 = ""I am doing fine""
s = str1.split(' ')
for word in s:
<TAB>if len(word) % 2 == 0:
        print(word)
"
Check if the key exists or not in JSON	"import json


studentJson = """"""{
   ""id"": 1,
   ""name"": ""john wick"",
   ""class"": 8,
   ""percentage"": 75,
   ""email"": ""jhon@pynative.com""
}""""""


print(""Checking if percentage key exists in JSON"")
student = json.loads(studentJson)
if ""percentage"" in student:
<TAB>print(""Key exist in JSON data"")
<TAB>print(student[""name""], ""marks is: "", student[""percentage""])
else:
<TAB>print(""Key doesn't exist in JSON data"")
"
write a python function to decapitalize the first letter of user provided string.	"

def decapitalize(s, upper_rest=False):
<TAB>return ''.join([s[:1].lower(), (s[1:].upper() if upper_rest else s[1:])])
"
write a python function that takes a list of numbers and calculate square of each number and return it in a list	"def square_num(mynumbers):
<TAB>return list(map(lambda num: num**2, mynumbers))


square_num([1, 2, 3])
"
Shuffle a list randomly	"import random
list = [2, 5, 8, 9, 12]
random.shuffle(list)
print(""Printing shuffled list "", list)
"
Write a python program to print positive Numbers in a List	"
list1 = [11, -21, 0, 45, 66, -93]

for num in list1:

<TAB>if num >= 0:
        print(num, end="" "")
"
Write a program that calculates and prints the value according to the given formula: Q = Square root of [(2 * C * D)/H]	"import math
c = 50
h = 30
value = []
items = [x for x in raw_input().split(',')]
for d in items:
<TAB>value.append(str(int(round(math.sqrt(2 * c * float(d) / h)))))
print(','.join(value))
"
Write a function to return the profit or loss based on cost price and selling price	"def find_profit_or_loss(cp, sp):
<TAB>if cp > sp:
        return 'loss', cp - sp
<TAB>elif cp < sp:
        return 'profit', sp - cp
<TAB>else:
        return 'no profit or loss', 0
"
write Python program to illustrate  enumerate function in loops	"l1 = [""eat"", ""sleep"", ""repeat""]


for count, ele in enumerate(l1, 100):
<TAB>print(count, ele)
"
Write a Python program to print the length of a set.	"
seta = set([5, 10, 3, 15, 2, 20])
print(len(seta))
"
Write a Python function to get OS name & platform using os & platform library	"import os
import platform


def get_info():
<TAB>return f'OS: {os.name}\n Platform: {platform.system}'
"
write a python generator function for generating Fibonacci Numbers	"def fib(limit):
<TAB>a, b = 0, 1
<TAB>while a < limit:
        yield a
        a, b = b, a + b
"
21 write a function to check if string is camelcase pythonpython by Breakable Buffalo on Aug 09 2020 Donate	"def is_camel_case(s):
<TAB>return s != s.lower() and s != s.upper() and ""_"" not in s
"
"75 write a program to generate all sentences where subject is in [""I"", ""You""] and verb is in [""Play"", ""Love""] and the object is in [""Hockey"",""Football""]."	"subjects = [""I"", ""You""]
verbs = [""Play"", ""Love""]
objects = [""Hockey"", ""Football""]
for i in range(len(subjects)):
<TAB>for j in range(len(verbs)):
        for k in range(len(objects)):
            sentence = ""%s %s %s."" % (subjects[i], verbs[j], objects[k])
            print(sentence)
"
write a python function to return the sequence elements n times	"def ncycles(iterable, n):
<TAB>from itertools import chain, repeat
<TAB>return chain.from_iterable(repeat(tuple(iterable), n))
"
Write a python program to print all pair combinations of 2 tuples.	"

test_tuple1 = (4, 5)
test_tuple2 = (7, 8)

res = [(a, b) for a in test_tuple1 for b in test_tuple2]
res = res + [(a, b) for a in test_tuple2 for b in test_tuple1]

print(""The filtered tuple : "" + str(res))
"
Write a function to convert time from 12 hour to 24 hour format	"def convert24(str1):
<TAB>if str1[-2:] == ""AM"" and str1[:2] == ""12"":
        return ""00"" + str1[2:-2]
<TAB>elif str1[-2:] == ""AM"":
        return str1[:-2]

<TAB>elif str1[-2:] == ""PM"" and str1[:2] == ""12"":
        return str1[:-2]
<TAB>else:
        return str(int(str1[:2]) + 12) + str1[2:8]


print(convert24(""08:05:45 PM""))
"
write a python function thats accepts a list and returns most frequent element that appears in a list	"

def most_frequent(list):
<TAB>return max(set(list), key=list.count)
"
